SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
105,19.456,38,10,none,7.5,400,5386,13.465,304,278,0.914474,0.862917,0.811611,0.79078,0.764327,0.73417,0.692031,0.692031,0.692031,0.692031,0.45615
106,19.968,39,10,none,7.5,400,5311,13.2775,310,279,0.9,0.851992,0.817467,0.798462,0.767062,0.728636,0.680174,0.680174,0.680174,0.680174,0.456721
107,20.48,40,10,none,7.5,400,5311,13.2775,323,289,0.894737,0.855769,0.81737,0.794597,0.7605,0.729224,0.680246,0.680246,0.680246,0.680246,0.456423
108,18.944,37,10,none,7.5,400,4955,12.3875,300,274,0.913333,0.816403,0.772917,0.756639,0.717442,0.682089,0.636796,0.636796,0.636796,0.636796,0.456801
109,20.48,40,10,none,7.5,400,4911,12.2775,312,291,0.932692,0.836754,0.798501,0.758247,0.727562,0.684865,0.628231,0.628231,0.628231,0.628231,0.457489
110,20.48,40,10,none,7.5,400,4975,12.4375,252,231,0.916667,0.833333,0.792845,0.772562,0.748301,0.694086,0.639625,0.639625,0.639625,0.639625,0.456411
111,20.48,40,10,none,7.5,400,4903,12.2575,222,203,0.914414,0.848456,0.795322,0.761583,0.727653,0.68056,0.627466,0.627466,0.627466,0.627466,0.45612
112,20.48,40,10,none,7.5,400,5264,13.16,232,217,0.935345,0.863118,0.830365,0.803535,0.777487,0.73214,0.675488,0.675488,0.675488,0.675488,0.455334
113,20.48,40,10,none,7.5,400,5321,13.3025,262,243,0.927481,0.868515,0.837665,0.805326,0.780388,0.744876,0.680143,0.680143,0.680143,0.680143,0.455885
114,20.48,40,10,none,7.5,400,5263,13.1575,292,272,0.931507,0.885017,0.839643,0.803835,0.772218,0.733476,0.673148,0.673148,0.673148,0.673148,0.455023
115,19.968,39,10,none,7.5,400,5127,12.8175,272,256,0.941176,0.894454,0.835465,0.788376,0.755749,0.716274,0.654494,0.654494,0.654494,0.654494,0.454423
116,20.48,40,10,none,7.5,400,5219,13.0475,278,251,0.902878,0.866606,0.838357,0.798219,0.769345,0.729154,0.665348,0.665348,0.665348,0.665348,0.453609
117,18.944,37,10,none,7.5,400,4797,11.9925,236,209,0.885593,0.807656,0.761966,0.727021,0.708119,0.676063,0.612203,0.612203,0.612203,0.612203,0.453978
118,19.968,39,10,none,7.5,400,4948,12.37,222,209,0.941441,0.849376,0.813478,0.760469,0.730496,0.695798,0.62864,0.62864,0.62864,0.62864,0.458018
119,20.48,40,10,none,7.5,400,5105,12.7625,210,197,0.938095,0.854147,0.808798,0.770223,0.747059,0.708465,0.649071,0.649071,0.649071,0.649071,0.45722
