SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
194,19.456,38,10,none,7.5,400,0,0,280,0,0,0,0,0,0,0,0,0,0,0,814.999
195,19.968,39,10,none,7.5,400,0,0,294,0,0,0,0,0,0,0,0,0,0,0,811.8
196,18.432,36,10,none,7.5,400,0,0,252,0,0,0,0,0,0,0,0,0,0,0,807.786
197,18.432,36,10,none,7.5,400,0,0,240,0,0,0,0,0,0,0,0,0,0,0,803.948
198,18.432,36,10,none,7.5,400,0,0,324,0,0,0,0,0,0,0,0,0,0,0,800.033
199,18.432,36,10,none,7.5,400,0,0,340,0,0,0,0,0,0,0,0,0,0,0,795.933
200,17.408,34,10,none,7.5,400,0,0,326,0,0,0,0,0,0,0,0,0,0,0,790.095
201,18.432,36,10,none,7.5,400,0,0,338,0,0,0,0,0,0,0,0,0,0,0,785.845
202,18.432,36,10,none,7.5,400,0,0,348,0,0,0,0,0,0,0,0,0,0,0,781.183
203,20.992,41,10,none,7.5,400,0,0,323,0,0,0,0,0,0,0,0,0,0,0,778.579
204,20.48,40,10,none,7.5,400,0,0,348,0,0,0,0,0,0,0,0,0,0,0,776.387
205,19.456,38,10,none,7.5,400,0,0,350,0,0,0,0,0,0,0,0,0,0,0,772.698
206,19.456,38,10,none,7.5,400,0,0,308,0,0,0,0,0,0,0,0,0,0,0,769.174
207,19.968,39,10,none,7.5,400,0,0,308,0,0,0,0,0,0,0,0,0,0,0,765.785
208,18.944,37,10,none,7.5,400,0,0,270,0,0,0,0,0,0,0,0,0,0,0,761.766
209,18.432,36,10,none,7.5,400,0,0,254,0,0,0,0,0,0,0,0,0,0,0,757.818
210,18.432,36,10,none,7.5,400,0,0,314,0,0,0,0,0,0,0,0,0,0,0,753.914
211,18.944,37,10,none,7.5,400,0,0,366,0,0,0,0,0,0,0,0,0,0,0,749.685
212,18.432,36,10,none,7.5,400,0,0,396,0,0,0,0,0,0,0,0,0,0,0,746.352
213,16.896,33,10,none,7.5,400,0,0,392,0,0,0,0,0,0,0,0,0,0,0,741.595
214,22.528,44,10,none,7.5,400,0,0,392,0,0,0,0,0,0,0,0,0,0,0,738.226
215,20.48,40,10,none,7.5,400,0,0,372,0,0,0,0,0,0,0,0,0,0,0,735.32
216,20.48,40,10,none,7.5,400,0,0,368,0,0,0,0,0,0,0,0,0,0,0,732.453
217,20.48,40,10,none,7.5,400,0,0,342,0,0,0,0,0,0,0,0,0,0,0,729.668
218,20.48,40,10,none,7.5,400,0,0,360,0,0,0,0,0,0,0,0,0,0,0,726.905
219,20.48,40,10,none,7.5,400,0,0,340,0,0,0,0,0,0,0,0,0,0,0,724.162
220,20.48,40,10,none,7.5,400,0,0,323,0,0,0,0,0,0,0,0,0,0,0,721.382
221,20.48,40,10,none,7.5,400,0,0,364,0,0,0,0,0,0,0,0,0,0,0,718.278
222,20.48,40,10,none,7.5,400,0,0,362,0,0,0,0,0,0,0,0,0,0,0,715.306
223,19.968,39,10,none,7.5,400,0,0,379,0,0,0,0,0,0,0,0,0,0,0,712.346
224,18.944,37,10,none,7.5,400,0,0,370,0,0,0,0,0,0,0,0,0,0,0,708.686
225,18.432,36,10,none,7.5,400,0,0,368,0,0,0,0,0,0,0,0,0,0,0,705.597
226,18.432,36,10,none,7.5,400,0,0,370,0,0,0,0,0,0,0,0,0,0,0,702.497
227,18.432,36,10,none,7.5,400,0,0,410,0,0,0,0,0,0,0,0,0,0,0,699.269
228,18.432,36,10,none,7.5,400,0,0,431,0,0,0,0,0,0,0,0,0,0,0,696.336
229,18.432,36,10,none,7.5,400,0,0,468,0,0,0,0,0,0,0,0,0,0,0,693.426
230,18.432,36,10,none,7.5,400,0,0,508,0,0,0,0,0,0,0,0,0,0,0,690.505
